School Name,School State,School Ownership,Mean Earnings (6 Yrs after Entry),Std. Deviation Earning (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Std. Deviation Earning (10 Yrs after Entry),150% Completion Rate at 4Yr (%),Retention Rate 4Yr (%)
Defiance College,OH,Private NonProfit,32900.0,19100.0,46500.0,32900.0,42.15,58.79
Lourdes University,OH,Private NonProfit,36500.0,24200.0,41300.0,28100.0,27.97,71.61999999999998
Franciscan University of Steubenville,OH,Private NonProfit,34800.0,21400.0,42700.0,42000.0,76.17,83.53
Wilmington College,OH,Private NonProfit,33000.0,20300.0,41900.0,23400.0,55.63,68.23
University of Toledo,OH,Public,37900.0,27300.0,52800.0,45300.0,42.65,74.08
Wright State University-Main Campus,OH,Public,34500.0,22000.0,46100.0,39300.0,35.63,65.68
Southeastern Oklahoma State University,OK,Public,34300.0,21900.0,41000.0,30300.0,25.19,54.75
Oklahoma Christian University,OK,Private NonProfit,36300.0,28000.0,43300.0,31400.0,48.89,77.12
University of Central Oklahoma,OK,Public,36900.0,25100.0,44900.0,37000.0,37.86,61.1
East Central University,OK,Public,33200.0,21500.0,42200.0,30900.0,34.09,51.96
Randall University,OK,Private NonProfit,30500.0,19800.0,38700.0,28800.0,51.92,35.9
Rogers State University,OK,Public,33100.0,22100.0,39300.0,34100.0,16.88,72.52
Bucknell University,PA,Private NonProfit,62400.0,41500.0,82400.0,63500.0,88.16000000000003,92.11
California University of Pennsylvania,PA,Public,35100.0,23400.0,44800.0,29400.0,49.52,72.27
Carlow University,PA,Private NonProfit,40400.0,25000.0,44200.0,31000.0,56.61000000000001,73.97
Warner Pacific College,OR,Private NonProfit,43000.0,28700.0,45200.0,31700.0,41.11,60.87000000000001
Willamette University,OR,Private NonProfit,36600.0,23400.0,57900.0,41300.0,77.75,85.6
Clarks Summit University,PA,Private NonProfit,26500.0,17000.0,35200.0,22900.0,54.92,68.49
Portland State University,OR,Public,38400.0,28000.0,50800.0,37700.0,48.39,74.27
Juniata College,PA,Private NonProfit,37500.0,22000.0,56800.0,37600.0,75.53,84.83000000000001
Anna Maria College,MA,Private NonProfit,38000.0,26100.0,48100.0,30000.0,38.68,66.81
St Mary's College of Maryland,MD,Public,38600.0,22700.0,55200.0,33200.0,72.91,86.50999999999998
Fisher College,MA,Private NonProfit,32400.0,21700.0,39600.0,28000.0,34.0,61.86000000000001
Northeastern University,MA,Private NonProfit,57800.0,35200.0,74200.0,52400.0,86.17,96.53
Lesley University,MA,Private NonProfit,33400.0,26700.0,40500.0,26500.0,54.52,79.57
Suffolk University,MA,Private NonProfit,43700.0,24600.0,59900.0,47600.0,59.07,75.44999999999997
Tufts University,MA,Private NonProfit,56600.0,38200.0,103300.0,100000.0,92.08,95.5
Williams College,MA,Private NonProfit,51400.0,44900.0,89800.0,112100.0,93.98,96.91
Grand Valley State University,MI,Public,37700.0,22200.0,47200.0,32900.0,66.29,84.02
Marygrove College,MI,Private NonProfit,25800.0,18200.0,31600.0,22900.0,23.58,42.86
Kalamazoo College,MI,Private NonProfit,39600.0,28600.0,54400.0,43200.0,80.94,88.46000000000002
Eastern Michigan University,MI,Public,35300.0,23600.0,43900.0,31400.0,40.72,74.87
Central Michigan University,MI,Public,37600.0,28800.0,46200.0,33600.0,57.47,77.59
Lawrence Technological University,MI,Private NonProfit,48100.0,27700.0,60500.0,39300.0,53.67,79.41
College for Creative Studies,MI,Private NonProfit,37100.0,24700.0,50700.0,39700.0,57.73,76.06
Michigan Technological University,MI,Public,54000.0,27700.0,66800.0,38500.0,66.85,82.84
Northwood University,MI,Private NonProfit,45700.0,31200.0,54900.0,44100.0,56.86,77.01
New Jersey Institute of Technology,NJ,Public,54800.0,30900.0,70300.0,38600.0,60.51,87.6
Bloomfield College,NJ,Private NonProfit,32700.0,21800.0,42700.0,27800.0,31.130000000000006,64.5
Bard College,NY,Private NonProfit,31000.0,21300.0,43700.0,34900.0,77.73,86.15
University of New Mexico-Main Campus,NM,Public,32600.0,26700.0,43900.0,38500.0,44.5,80.13
Five Towns College,NY,Private ForProfit,26300.0,19000.0,40100.0,30600.0,39.02,74.49
Canisius College,NY,Private NonProfit,37900.0,22300.0,51100.0,29500.0,70.78,83.31
Cooper Union for the Advancement of Science and Art,NY,Private NonProfit,49800.0,42600.0,68600.0,47400.0,86.7,96.05
Cornell University,NY,Private NonProfit,76300.0,62000.0,101200.0,92900.0,93.88,97.01
CUNY New York City College of Technology,NY,Public,32900.0,23500.0,44700.0,30200.0,15.8,77.28
Cazenovia College,NY,Private NonProfit,30700.0,16900.0,38800.0,23300.0,43.5,73.2
Manhattan School of Music,NY,Private NonProfit,23700.0,20500.0,40700.0,38100.0,100.0,93.07
The College of New Rochelle,NY,Private NonProfit,37500.0,28600.0,38400.0,29700.0,35.120000000000005,76.86
Ithaca College,NY,Private NonProfit,41200.0,23200.0,57600.0,37400.0,74.53999999999998,84.67
Pratt Institute-Main,NY,Private NonProfit,40200.0,25500.0,48900.0,37400.0,70.00999999999999,85.28999999999998
Roberts Wesleyan College,NY,Private NonProfit,39100.0,29300.0,45700.0,31300.0,59.11,75.42
Paul Smiths College of Arts and Science,NY,Private NonProfit,31100.0,17300.0,38400.0,23300.0,44.74,75.62
